Name,Continent,Capital,Population,Density,Area,Lat,Long
Kyrgyzstan,Asia,Bishkek,6542426,34,191800,41.20438,74.766098
Laos,Asia,Vientiane,7293542,32,230800,19.85627,102.495496
Latvia,Europe,Riga,1882408,30,62200,56.879635,24.603189
Lebanon,Asia,Beirut,6819976,667,10230,33.854721,35.862285
Lesotho,Africa,Maseru,2145194,71,30360,-29.609988,28.233608
Liberia,Africa,Monrovia,5077411,53,96320,6.428055,-9.429499
Libya,Africa,Tripoli,6887247,4,1759540,26.3351,17.228331
Liechtenstein,Europe,Vaduz,38147,238,160,47.166,9.555373
Lithuania,Europe,Vilnius,2715340,43,62674,55.169438,23.881275
Luxembourg,Europe,Luxembourg,627704,242,2590,49.815273,6.129583
Madagascar,Africa,Antananarivo,27808395,48,581795,-18.766947,46.869107
Malawi,Africa,Lilongwe,19211425,203,94280,-13.254308,34.301525
Malaysia,Asia,Kuala Lumpur,32436963,99,328550,4.210484,101.975766
Maldives,Africa,Male,542151,1802,300,3.202778,73.22068
Mali,Africa,Bamako,20346106,17,1220190,17.570692,-3.996166
Malta,Europe,Valletta,441750,1380,320,35.937496,14.375416
Marshall Islands,Oceania,Majuro,59259,329,180,7.131474,171.184478
Mauritania,Africa,Nouakchott,4669775,5,1030700,21.00789,-10.940835
Mauritius,Africa,Port Louis,1272140,626,2030,-20.348404,57.552152
Mexico,North America,Mexico City,129166028,66,1943950,23.634501,-102.552784
Micronesia,Oceania,Palikir,115231,164,700,7.425554,150.550812
Moldova,Europe,Chisinau,4032294,123,32850,47.411631,28.369885
Monaco,Europe,Monaco,39290,26337,2,43.750298,7.412841
Mongolia,Asia,Ulaanbaatar,3287242,2,1553560,46.862496,103.846656
Montenegro,Europe,Podgorica,628080,47,13450,42.708678,19.37439
Morocco,Africa,Rabat,36985624,83,446300,31.791702,-7.09262
Mozambique,Africa,Maputo,31398811,40,786380,-18.665695,35.529562
Myanmar,Asia,Naypyidaw,54473253,83,653290,21.913965,95.956223
Namibia,Africa,Windhoek,2548663,3,823290,-22.95764,18.49041
Nauru,Oceania,Yaren,10836,541,20,-0.522778,166.931503
Nepal,Asia,Kathmandu,29225196,203,143350,28.394857,84.124008
Netherlands,Europe,Amsterdam,17141544,508,33720,52.132633,5.291266
New Zealand,Oceania,Wellington,4829021,18,263310,-40.900557,174.885971
Nicaragua,North America,Managua,6638075,55,120340,12.865416,-85.207229
Niger,Africa,Niamey,24346468,19,1266700,17.607789,8.081666
Nigeria,Africa,Abuja,206984347,226,910770,9.081999,8.675277
North Korea,Asia,Pyongyang,25798588,214,120410,40.339852,127.510093
North Macedonia,Europe,Skopje,2083359,83,25220,41.608635,21.745275
Norway,Europe,Oslo,5428594,15,365268,60.472024,8.468946
Oman,Asia,Masqat,5128058,16,309500,21.512583,55.923255
Pakistan,Asia,Islamabad,221612785,287,770880,30.375321,69.345116
Palau,Oceania,Ngerulmud,18109,39,460,7.51498,134.58252
Palestine,Asia,Ramallah,5121112,847,6020,31.952162,35.233154
Panama,North America,Panama City,4326296,58,74340,8.537981,-80.782127
Papua New Guinea,Oceania,Port Moresby,8975531,20,452860,-6.314993,143.95555
